index,path,symbol,coin_name,UCID,key_derivation,xprv_priv_header,xprv_pub_header,pub_key_hash,script_hash,wif,main_version_byte,test_version_bytes,evm,comment,status,level
190,0x800000be,EXCL,ExclusiveCoin,,,0x0488ADE4,0x0488B21E,0x21,0x89,0xa1,,,,,,1
191,0x800000bf,LYNX,Lynx,,,0x0488ADE4,0x0488B21E,0x2d,0x32,0xad,,,,,,1
192,0x800000c0,LCC,LitecoinCash,,,0x0488ADE4,0x0488B21E,0x1c,0x05,0xb0,,,,,,1
193,0x800000c1,XFE,Feirm,,,,,,,,,,,,,1
194,0x800000c2,EOS,EOS,,,,,,,,,,,,,1
195,0x800000c3,TRX,Tron,,,,,,,,,,,,,1
196,0x800000c4,KOBO,Kobocoin,,,0x0488ADE4,0x0488B21E,0x23,0x1c,0xa3,,,,,,1
197,0x800000c5,HUSH,HUSH,,,0x0488ADE4,0x0488B21E,0x1CB8,0x1CBD,0x80,,,,,,1
198,0x800000c6,BAN,Banano,,,,,,,,,,,,,1
199,0x800000c7,ETF,ETF,,,,,,,,,,,,,1
200,0x800000c8,OMNI,Omni,,,0x0488ADE4,0x0488B21E,0x00,0x05,0x80,,,,,,1
201,0x800000c9,BIFI,BitcoinFile,,,,,,,,,,,,,1
202,0x800000ca,UFO,Uniform Fiscal Object,,,,,,,,,,,,,1
203,0x800000cb,CNMC,Cryptonodes,,,,,,,,,,,,,1
204,0x800000cc,BCN,Bytecoin,,,,,,,,,,,,,1
205,0x800000cd,RIN,Ringo,,,,,,,,,,,,,1
206,0x800000ce,ATP,Alaya,,,,,,,,,,,,,1
207,0x800000cf,EVT,everiToken,,,,,,,,,,,,,1
208,0x800000d0,ATN,ATN,,,,,,,,,,,,,1
209,0x800000d1,BIS,Bismuth,,,,,,,,,,,,,1
210,0x800000d2,NEET,NEETCOIN,,,,,,,,,,,,,1
211,0x800000d3,BOPO,BopoChain,,,,,,,,,,,,,1
212,0x800000d4,OOT,Utrum,,,,,,,,,,,,,1
213,0x800000d5,ALIAS,Alias,,,,,,,,,,,,,1
214,0x800000d6,MONK,Monkey Project,,,0x0488DDE4,0x0488B21E,0x33,0x1c,0x37,,,,,,1
215,0x800000d7,BOXY,BoxyCoin,,,,,,,,,,,,,1
216,0x800000d8,FLO,Flo,,,,,,,,,,,,,1
217,0x800000d9,MEC,Megacoin,,,0x0488ADE4,0x0488B21E,0x32,0x05,0xB2,,,,,,1
218,0x800000da,BTDX,BitCloud,,,0x0488ADE4,0x0488B21E,0x19,0x05,0x99,,,,,,1
219,0x800000db,XAX,Artax,,,0x0488ADE4,0x0488B21E,0x17,0x1CBD,0x97,,,,,,1
220,0x800000dc,ANON,ANON,,,0x0488ADE4,0x0488B21E,0x0582,0x5389,0x80,,,,,,1
221,0x800000dd,LTZ,LitecoinZ,,,0x0488ADE4,0x0488B21E,0x0AB3,0x0AB8,0x80,,,,,,1
222,0x800000de,BITG,Bitcoin Green,,,0x0488ADE4,0x0488B21E,0x26,0x1CBD,0x2E,,,,,,1
223,0x800000df,ICP,Internet Computer,,,,,,,,,,,,,1
224,0x800000e0,SMART,Smartcash,,,,,,,,,,,,,1
225,0x800000e1,XUEZ,XUEZ,,,0x0221312B,0x022D2533,0x4b,0x12,0xd4,,,,,,1
226,0x800000e2,HLM,Helium,,,,,,,,,,,,,1
227,0x800000e3,WEB,Webchain,,,,,,,,,,,,,1
228,0x800000e4,ACM,Actinium,,,,,,,,,,,,,1
229,0x800000e5,NOS,NOS Stable Coins,,,,,,,,,,,,,1
230,0x800000e6,BITC,BitCash,,,,,,,,,,,,,1
231,0x800000e7,HTH,Help The Homeless Coin,,,,,,,,,,,,,1
232,0x800000e8,TZC,Trezarcoin,,,,,,,,,,,,,1
233,0x800000e9,VAR,Varda,,,,,,,,,,,,,1
