status,coin_index,coin_symbol,coin_name,key_derivation,hash,private_header,public_header,public_key_hash,script_hash,wallet_import_format,evm,UCID,cmc_top
🟥,385,DOGEC,DogeCash,,,,,,,,,,
🟥,386,BMV,Bitcoin Matteo's Vision,,,,,,,,,,
🟥,387,QBC,Quebecoin,,,,,,,,,,
🟥,388,IMG,ImageCoin,,,,,,,,,,
🟥,389,QOS,QOS,,,,,,,,,,
🟥,390,PKT,PKT,,,,,,,,,,
🟥,391,LHD,LitecoinHD,,,,,,,,,,
🟥,392,CENNZ,CENNZnet,,,,,,,,,,
🟥,393,HSN,Hyper Speed Network,,,,,,,,,,
✅,394,CRO,Crypto Chain,secp256k1,keccak256,,,,,,TRUE,,100
,395,UMBRU,Umbru,,,,,,,,,,
,396,EVER,Everscale,,,,,,,,,,
✅,397,NEAR,NEAR Protocol,secp256k1,keccak256,,,,,,TRUE,,100
,398,XPC,XPChain,,,,,,,,,,
,399,ZOC,01coin,,,,,,,,,,
✅,400,NIX,NIX,secp256k1,sha256,,,0x26,0x35,,,,
,401,UC,Utopiacoin,,,,,,,,,,
,402,GALI,Galilel,,,,,,,,,,
,403,OLT,Oneledger,,,,,,,,,,
,404,XBI,XBI,,,,,,,,,,
,405,DONU,DONU,,,,,,,,,,
,406,EARTHS,Earths,,,,,,,,,,
,407,HDD,HDDCash,,,,,,,,,,
✅,408,SUGAR,Sugarchain,secp256k1,sha256,,,0x3f,0x7d,,,,
,409,AILE,AileCoin,,,,,,,,,,
,410,TENT,TENT,,,,,,,,,,
,411,TAN,Tangerine Network,,,,,,,,,,
,412,AIN,AIN,,,,,,,,,,
,413,MSR,Masari,,,,,,,,,,
,414,SUMO,Sumokoin,,,,,,,,,,
,415,ETN,Electroneum,,,,,,,,,,
,416,BYTZ,BYTZ,,,,,,,,,,
,417,WOW,Wownero,,,,,,,,,,
,418,XTNC,XtendCash,,,,,,,,,,
